,Total_Repayments__c,,,Amount,,
,count,min,max,count,min,max
Cluster_result,,,,,,
694,10,13,13,10,3500,3500
695,5,16,16,5,2850,2850
696,7,12,12,7,3600,3600
697,6,20,20,6,2000,2000
698,10,7,7,10,4100,4100
699,7,21,21,7,5000,5000
700,50,14,14,50,3500,3500
701,7,11,11,7,1200,1200
702,7,16,16,7,2950,2950
703,5,2,2,5,1950,1950
704,8,12,12,8,1400,1400
705,18,16,16,18,750,750
706,5,9,9,5,250,250
707,12,18,18,12,500,500
708,8,18,18,8,2400,2400
709,7,11,11,7,2800,2800
710,8,4,4,8,1150,1150
711,8,29,29,8,2050,2050
712,6,13,13,6,900,900
713,13,12,12,13,1550,1550
714,8,3,3,8,1450,1450
715,7,9,9,7,2300,2300
716,6,12,12,6,2250,2250
717,8,8,8,8,2900,2900
718,8,8,8,8,2550,2550
719,6,7,7,6,2900,2900
720,6,20,20,6,500,500
721,8,12,12,8,850,850
722,9,12,12,9,650,650
723,38,1,1,38,250,250
724,5,4,4,5,4950,4950
725,5,6,6,5,1450,1450
726,11,12,12,11,1700,1700
727,9,36,36,9,2200,2200
728,10,24,24,10,2200,2200
729,8,6,6,8,100,100
730,13,12,12,13,1750,1750
731,7,3,3,7,2050,2050
732,5,6,6,5,2700,2700
733,12,9,9,12,2000,2000
734,6,15,15,6,2250,2250
735,6,12,12,6,550,550
736,7,8,8,7,2150,2150
737,5,17,17,5,1000,1000
738,9,36,36,9,3500,3500
739,15,22,22,15,5000,5000
740,7,12,12,7,2400,2400
741,6,16,16,6,350,350
742,8,16,16,8,600,600
743,7,3,3,7,150,150
744,12,20,20,12,1500,1500
745,6,4,4,6,2750,2750
746,15,24,24,15,2000,2000
747,5,9,9,5,950,950
748,12,16,16,12,2400,2400
749,13,16,16,13,2600,2600
750,13,8,8,13,550,550
751,9,8,8,9,1900,1900
752,6,23,23,6,5000,5000
753,5,23,23,5,1000,1000
754,6,8,8,6,1700,1700
755,5,9,9,5,2400,2400
